Date,Length
"June 30, 2022",115
"June 29, 2022",136
"June 28, 2022",109
"June 27, 2022",121
"June 26, 2022",112
"June 25, 2022",124
"June 24, 2022",142
"June 23, 2022",124
"June 22, 2022",123
"June 21, 2022",156
"June 20, 2022",94
"June 19, 2022",113
"June 18, 2022",107
"June 17, 2022",130
"June 16, 2022",130
"June 15, 2022",114
"June 14, 2022",90
"June 13, 2022",129
"June 12, 2022",113
"June 11, 2022",129
"June 10, 2022",93
"June 9, 2022",116
"June 8, 2022",109
"June 7, 2022",120
"June 6, 2022",115
"June 5, 2022",87
"June 4, 2022",113
"June 3, 2022",95
"June 2, 2022",100
"June 1, 2022",153
"May 31, 2022",105
"May 30, 2022",126
"May 29, 2022",116
"May 28, 2022",85
"May 27, 2022",86
"May 26, 2022",94
"May 25, 2022",62
"May 24, 2022",82
"May 23, 2022",81
"May 22, 2022",94
"May 21, 2022",93
"May 20, 2022",98
"May 19, 2022",82
"May 18, 2022",78
"May 17, 2022",79
"May 16, 2022",114
"May 15, 2022",82
"May 14, 2022",70
"May 13, 2022",72
"May 12, 2022",70
"May 11, 2022",73
"May 10, 2022",86
"May 9, 2022",87
"May 8, 2022",76
